,Paquetes,Tiempo de misión,Hora,Estado de la misión,Servo,Latitud,Longitud,Temperatura,Presión,Altitud,Aceleración en X,Aceleración en Y,Aceleración en Z,Giro X,Giro Y,Giro Z,Ángulo X,Ángulo Y,Ángulo Z,Brujula,Bateria,CO2,Humedad,Velocidad
0,30616,345.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78145.0,4.11,0.785,5.003,-7.946,11.16,-34.09,-6.11,181.29,-112.36,2203.23,204.91,76.0,548.0,21.95,0.0
1,30617,345.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78143.0,4.52,0.491,5.003,-9.025,11.16,-34.09,-6.11,181.29,-112.36,2203.23,204.91,76.0,548.0,21.95,0.0
2,30618,345.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78143.0,4.52,0.491,5.003,-9.025,-24.13,60.96,18.37,176.74,-103.66,2206.28,205.38,76.0,548.0,21.95,0.0
3,30619,345.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78143.0,4.52,0.491,5.003,-9.025,-24.13,60.96,18.37,176.74,-103.66,2206.28,205.38,76.0,548.0,21.95,0.0
4,30620,345.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78143.0,4.52,0.491,5.003,-9.025,-24.13,60.96,18.37,176.74,-103.66,2206.28,205.38,75.0,548.0,21.95,0.0
5,30621,345.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78142.0,4.42,1.864,5.69,-6.769,-24.13,60.96,18.37,176.74,-103.66,2206.28,205.38,75.0,548.0,21.95,0.0
6,30622,345.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78142.0,4.42,1.864,5.69,-6.769,21.0,-41.98,-42.59,178.36,-109.05,2201.0,205.73,75.0,548.0,21.95,0.0
7,30623,345.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78142.0,4.42,1.864,5.69,-6.769,21.0,-41.98,-42.59,178.36,-109.05,2201.0,205.73,75.0,548.0,21.95,0.0
8,30624,345.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78142.0,4.42,1.864,5.69,-6.769,21.0,-41.98,-42.59,178.36,-109.05,2201.0,205.73,76.0,548.0,21.95,0.0
9,30625,345.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78141.0,4.73,0.589,5.69,-8.24,21.0,-41.98,-42.59,178.36,-109.05,2201.0,205.73,76.0,548.0,21.95,0.0
10,30626,345.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78141.0,4.73,0.589,5.69,-8.24,36.45,-20.26,8.97,182.09,-112.67,2202.11,205.28,76.0,548.0,21.95,0.0
11,30627,345.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78141.0,4.73,0.589,5.69,-8.24,36.45,-20.26,8.97,182.09,-112.67,2202.11,205.28,76.0,548.0,21.95,0.0
12,30628,345.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78141.0,4.73,0.589,5.69,-8.24,36.45,-20.26,8.97,182.09,-112.67,2202.11,205.28,76.0,548.0,21.95,0.0
13,30629,345.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78142.0,4.73,0.098,5.003,-9.025,36.45,-20.26,8.97,182.09,-112.67,2202.11,205.28,76.0,548.0,21.95,0.0
14,30630,345.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78142.0,4.73,0.098,5.003,-9.025,1.81,-12.23,5.64,181.69,-115.48,2202.81,204.88,76.0,548.0,21.95,0.0
15,30631,345.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78142.0,4.73,0.098,5.003,-9.025,1.81,-12.23,5.64,181.69,-115.48,2202.81,204.88,76.0,548.0,22.43,0.0
16,30632,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78142.0,4.73,0.098,5.003,-9.025,1.81,-12.23,5.64,181.69,-115.48,2202.81,204.88,75.0,548.0,22.43,0.0
17,30633,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78149.0,4.42,0.294,4.807,-8.24,1.81,-12.23,5.64,181.69,-115.48,2202.81,204.88,75.0,548.0,22.43,0.0
18,30634,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78149.0,4.42,0.294,4.807,-8.24,14.93,4.44,24.33,183.46,-115.96,2206.85,203.43,75.0,548.0,22.43,0.0
19,30635,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78149.0,4.42,0.294,4.807,-8.24,14.93,4.44,24.33,183.46,-115.96,2206.85,203.43,75.0,548.0,22.43,0.0
20,30636,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78149.0,4.42,0.294,4.807,-8.24,14.93,4.44,24.33,183.46,-115.96,2206.85,203.43,76.0,548.0,22.43,0.0
21,30637,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78144.0,4.93,-0.0,4.709,-8.044,14.93,4.44,24.33,183.46,-115.96,2206.85,203.43,76.0,548.0,22.43,0.31
22,30638,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78144.0,4.93,-0.0,4.709,-8.044,-2.03,-11.39,11.78,182.53,-111.42,2208.31,203.57,76.0,548.0,22.43,0.41
23,30639,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78144.0,4.93,-0.0,4.709,-8.044,-2.03,-11.39,11.78,182.53,-111.42,2208.31,203.57,76.0,548.0,22.43,0.41
24,30640,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78144.0,4.93,-0.0,4.709,-8.044,-2.03,-11.39,11.78,182.53,-111.42,2208.31,203.57,76.0,548.0,22.43,0.41
25,30641,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78144.0,5.65,-0.883,5.494,-6.573,-2.03,-11.39,11.78,182.53,-111.42,2208.31,203.57,76.0,548.0,22.43,0.41
26,30642,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78144.0,5.65,-0.883,5.494,-6.573,-57.33,73.94,15.64,174.63,-97.42,2210.25,205.1,76.0,548.0,22.43,1.23
27,30643,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78144.0,5.65,-0.883,5.494,-6.573,-57.33,73.94,15.64,174.63,-97.42,2210.25,205.1,76.0,548.0,22.43,1.23
28,30644,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78144.0,5.65,-0.883,5.494,-6.573,-57.33,73.94,15.64,174.63,-97.42,2210.25,205.1,75.0,548.0,22.43,1.23
29,30645,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78143.0,4.73,2.845,6.082,-8.437,-57.33,73.94,15.64,174.63,-97.42,2210.25,205.1,75.0,548.0,22.43,1.23
30,30646,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78143.0,4.73,2.845,6.082,-8.437,-95.56,85.33,6.57,160.96,-86.59,2211.15,205.62,75.0,548.0,22.43,-0.0
31,30647,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78143.0,4.73,2.845,6.082,-8.437,-95.56,85.33,6.57,160.96,-86.59,2211.15,205.62,75.0,548.0,22.95,-0.0
32,30648,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78143.0,4.73,2.845,6.082,-8.437,-95.56,85.33,6.57,160.96,-86.59,2211.15,205.62,75.0,548.0,22.95,-0.0
33,30649,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78145.0,4.83,2.649,6.377,-7.652,-95.56,85.33,6.57,160.96,-86.59,2211.15,205.62,75.0,548.0,22.95,-0.0
34,30650,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78145.0,4.83,2.649,6.377,-7.652,-36.55,3.28,-63.84,154.35,-86.64,2200.55,208.42,75.0,548.0,22.95,0.1
35,30651,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78145.0,4.83,2.649,6.377,-7.652,-36.55,3.28,-63.84,154.35,-86.64,2200.55,208.42,75.0,548.0,22.95,0.1
36,30652,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.6,78145.0,4.83,2.649,6.377,-7.652,-36.55,3.28,-63.84,154.35,-86.64,2200.55,208.42,76.0,548.0,22.95,0.1
37,30653,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.7,78143.0,4.93,3.532,7.652,-8.535,-36.55,3.28,-63.84,154.35,-86.64,2200.55,208.42,76.0,548.0,22.95,0.1
38,30654,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.7,78143.0,4.93,3.532,7.652,-8.535,13.2,70.79,-49.43,155.33,-78.4,2194.42,210.92,76.0,548.0,22.95,0.1
39,30655,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.7,78143.0,4.93,3.532,7.652,-8.535,13.2,70.79,-49.43,155.33,-78.4,2194.42,210.92,76.0,548.0,22.95,0.1
40,30656,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.7,78143.0,4.93,3.532,7.652,-8.535,13.2,70.79,-49.43,155.33,-78.4,2194.42,210.92,76.0,548.0,22.95,0.1
41,30657,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.7,78146.0,4.21,4.12,7.554,-7.358,13.2,70.79,-49.43,155.33,-78.4,2194.42,210.92,76.0,548.0,22.95,0.1
42,30658,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.7,78146.0,4.21,4.12,7.554,-7.358,27.42,49.05,-20.05,157.83,-72.62,2191.93,211.03,76.0,548.0,22.95,0.1
43,30659,346.0, 12:41:7,Misión Iniciada,0.0,19.326628,-99.187225,34.7,78146.0,4.21,4.12,7.554,-7.358,27.42,49.05,-20.05,157.83,-72.62,2191.93,211.03,76.0,548.0,22.95,0.1
